CME_num,LASCO_Start,Start_Date,Arrival_Date,PE_duration,Arrival_v,Transit_time,Transit_time_err,LASCO_Date,LASCO_v,LASCO_pa,LASCO_da,LASCO_halo,v_r,v_r_err,Theta_source,Phi_source,source_err,POS_source_angle,rel_wid,Mass,SW_type,Bz,DST,v_r_stat,Accel.,Analyitic_w,Analyitic_gamma,filename,Wind speed,Wind dens
index,datetime,datetime,datetime,hours,km/s,hours,hours,datetime,km/s,deg,deg,,km/s,km/s,arcsec,arcsec,arcsec,deg,rad,g,,nT,nT,km/s,m/s^2,km/s,km^-1,,km/s,1/cm^3
25,1998-11-05 20:44:02.000,1998-11-05 22:57:36.320,1998-11-09 01:00:00,48.0,450,74.03972222222222,0.18544,1998-11-05 20:44:02,1118.0,-9999.0,360.0,FH,1320.6,110.54,8.03381535307745,-0.7908733187780199,20.0,81.9276047436148,1.1519173063162575,-9999.0,S,12,-149.0,1189.686,0,431.53,1.9887e-07,CME_025_param_inv.txt,      425.538,      4.33385
26,1998-11-09 18:17:55.000,1998-11-09 21:59:40.600,1998-11-13 02:00:00,34.0,390,76.00527777777778,1.7059,1998-11-09 18:17:55,325.0,330.0,190.0,HH,739.16,361.64,14.939268119243122,1.545536605148832,20.0,74.9828087106242,0.7853981633974483,-9999.0,F,17,-131.0,375.275,0,264.16,2.1347e-08,CME_026_param_inv.txt,      385.077,      3.22077
27,1999-04-13 03:30:05.000,1999-04-13 10:02:37.280,1999-04-16 18:00:00,25.0,410,79.95611111111111,1.075,1999-04-13 03:30:05,291.0,228.0,261.0,HH,466.56,81.411,1.9893831702103721,-18.046808664891692,20.0,71.84750196792847,0.5585053606381855,1400000000000000.0,S,18,-91.0,340.35699999999997,0,0,0,CME_027_param_inv.txt,      418.846,      3.08846
28,1999-04-18 08:30:05.000,1999-04-18 14:15:42.080,1999-04-21 04:00:00,34.0,490,61.738055555555555,0.69155,1999-04-18 08:30:05,475.0,59.0,112.0,PH,563.21,70.719,36.797409419686005,19.96855438152062,20.0,48.81758260438564,0.7853981633974483,1200000000000000.0,S,8,-29.0,529.3249999999999,0,0,0,CME_028_param_inv.txt,      358.538,      5.42615
29,1999-06-24 13:31:24.000,1999-06-24 16:15:21.360,1999-06-27 22:00:00,30.0,670,77.74388888888889,0.29549,1999-06-24 13:31:24,975.0,-9999.0,360.0,FH,1434.8,355.89,-19.23693353833077,11.99018562267972,20.0,67.45303543263621,1.1519173063162575,2300000000000000.0,S,7,-41.0,1042.8249999999998,55.024,0,0,CME_029_param_inv.txt,      296.154,      10.1038
30,1999-07-03 19:54:05.000,1999-07-04 00:47:21.440,1999-07-06 21:00:00,5.0,460,68.21055555555556,0.57148,1999-07-03 19:54:05,536.0,301.0,139.0,PH,826.23,107.84,19.400589728205436,-21.5987536249275,20.0,61.28144776950825,0.7853981633974483,8400000000000000.0,S,10,-4.0,591.972,19.577,379.6,4.1531e-08,CME_030_param_inv.txt,      473.692,      2.41923
31,1999-07-23 21:30:09.000,1999-07-24 03:32:04.200,1999-07-27 17:00:00,43.0,390,85.46527777777777,0.98946,1999-07-23 21:30:09,329.0,75.0,123.0,PH,512.63,134.25,9.740914581708365,23.574171716565676,20.0,64.59918828664894,0.7853981633974483,7500000000000000.0,S,6,-38.0,379.383,0.50588,270.15,1.3714e-08,CME_031_param_inv.txt,      464.692,      4.24923
32,1999-07-28 04:30:05.000,1999-07-28 10:37:32.120,1999-07-30 20:00:00,12.0,620,57.37416666666667,0.46152,1999-07-28 04:30:05,361.0,112.0,189.0,HH,504.45,39.813,-45.952699932501694,23.029824754381146,20.0,39.77998859870776,0.7853981633974483,-9999.0,S,9,-52.0,412.24699999999996,0,0,0,CME_032_param_inv.txt,      380.846,      3.31231
33,1999-07-28 09:30:06.000,1999-07-28 12:43:57.240,1999-07-31 19:00:00,35.0,480,78.26722222222222,0.54992,1999-07-28 09:06:05,462.0,-9999.0,360.0,FH,802.39,137.77,-31.656848064399195,1.4373957825527188,20.0,58.313922968676756,0.7853981633974483,190000000000000.0,S,5,-39.0,515.9739999999999,0,0,0,CME_033_param_inv.txt,      386.000,      2.31308
34,1999-08-09 03:26:05.000,1999-08-09 09:00:49.760,1999-08-12 03:00:00,45.0,380,65.98611111111111,0.6791,1999-08-09 03:26:05,395.0,197.0,212.0,HH,565.03,71.867,-11.189587313756208,-8.60139728675711,20.0,75.91999627243929,0.7853981633974483,1000000000000000.0,S,6,-13.0,447.16499999999996,0,0,0,CME_034_param_inv.txt,      378.077,      4.31462
35,1999-09-20 06:30:06.000,1999-09-20 09:02:08.760,1999-09-22 19:00:00,32.0,530,57.96416666666667,0.67496,1999-09-20 06:06:05,604.0,-9999.0,360.0,FH,973.92,272.38,41.424856859187734,8.356012485535922,20.0,47.89045231386463,1.1519173063162575,890000000000000.0,F,11,-173.0,661.808,0,413.42,3.2556e-08,CME_035_param_inv.txt,     0.000000,     0.000000
36,2000-01-18 17:54:05.000,2000-01-18 20:20:01.640,2000-01-22 17:00:00,9.0,380,92.6661111111111,0.24173,2000-01-18 17:54:05,739.0,-9999.0,360.0,FH,1132.6,113.84,-21.745379857751786,3.6284797315033557,20.0,67.96845566101304,1.1519173063162575,6900000000000000.0,S,16,-97.0,800.453,0,374.03,4.9825e-07,CME_036_param_inv.txt,      319.385,      6.89692
37,2000-02-08 09:30:05.000,2000-02-08 11:56:59.600,2000-02-11 16:00:00,4.0,420,76.05,0.22087,2000-02-08 09:30:05,1079.0,-9999.0,360.0,FH,1364.0,306.06,12.395440771184576,-9.034198716025683,20.0,74.70345484412357,1.1519173063162575,-9999.0,S,7,-25.0,1149.6329999999998,24.337,393.68,1.3502e-07,CME_037_param_inv.txt,      588.308,      2.96923
38,2000-02-10 03:18:05.000,2000-02-10 05:07:24.920,2000-02-12 12:00:00,12.0,540,54.87638888888889,0.20249,2000-02-10 02:30:05,944.0,-9999.0,360.0,FH,1097.2,122.95,10.905088876790261,-2.539084787946801,20.0,78.80670431019823,1.1519173063162575,64000000000000.0,S,13,-133.0,1010.9879999999999,0,400.99,2.9143e-08,CME_038_param_inv.txt,      444.615,      4.58462
39,2000-02-12 04:31:20.000,2000-02-12 06:54:10.160,2000-02-14 12:00:00,44.0,520,53.096944444444446,0.23592,2000-02-12 04:31:20,1107.0,-9999.0,360.0,FH,1286.9,254.35,-6.909320152569251,-1.648350880701705,20.0,82.89770589528138,1.1519173063162575,1600000000000000.0,S,5,-67.0,1178.389,-7.7876,351.78,2.5505e-08,CME_039_param_inv.txt,      593.692,      16.4254
40,2000-02-17 19:31:23.000,2000-02-18 01:18:04.880,2000-02-21 05:00:00,31.0,380,75.6986111111111,0.11546,2000-02-17 19:31:23,543.0,186.0,64.0,N,566.07,11.598,-950.7629319720693,-99.92921088387698,20.0,6.261596630547458,0.5585053606381855,-9999.0,S,15,-26.0,599.161,0,0,0,CME_040_param_inv.txt,      386.154,      4.29615
41,2000-04-04 16:43:01.000,2000-04-04 17:02:59.728,2000-04-07 06:00:00,24.0,560,60.95,0.30158,2000-04-04 16:32:37,1188.0,-9999.0,360.0,FH,1648.4,552.38,37.468068026654315,-1.4047919564367601,20.0,52.50946940820813,1.1519173063162575,4500000000000000.0,S,6,-288.0,1261.5759999999998,0,543.9,2.7898e-07,CME_041_param_inv.txt,      361.231,      8.25231
42,2000-04-15 10:35:41.000,2000-04-15 13:27:24.560,2000-04-18 20:00:00,18.0,460,78.54305555555555,0.32308,2000-04-15 10:35:41,716.0,93.0,176.0,PH,1095.2,129.83,-11.75795438223289,20.499381460168543,20.0,66.49451211242535,1.1519173063162575,430000000000000.0,S,10,-14.0,776.832,0,456.24,9.3406e-07,CME_042_param_inv.txt,      267.615,      15.0369
43,2000-04-29 04:30:05.000,2000-04-29 09:23:25.760,2000-05-02 20:00:00,62.0,500,82.60944444444445,0.45684,2000-04-29 04:30:05,551.0,143.0,109.0,PH,704.87,104.24,-25.17909189846836,13.879900001666643,20.0,61.46884339752057,0.7853981633974483,1.1e+16,S,6,-37.0,607.377,5.3424,0,0,CME_043_param_inv.txt,      386.154,      5.85308
44,2000-05-10 20:06:07.000,2000-05-10 23:13:02.080,2000-05-13 17:00:00,25.0,500,65.7825,0.29819,2000-05-10 20:06:07,641.0,83.0,205.0,HH,921.9,92.158,-3.89873564080449,17.254934188322647,20.0,72.32316691358069,1.1519173063162575,4400000000000000.0,S,8,-2.0,699.8069999999999,0,459.1,9.4128e-08,CME_044_param_inv.txt,      322.538,      10.1654
45,2000-05-13 13:42:05.000,2000-05-13 16:37:51.920,2000-05-16 23:00:00,8.0,550,78.36888888888889,0.19786,2000-05-13 12:26:05,666.0,166.0,182.0,HH,818.34,223.73,-21.003734404426595,12.607141214313096,20.0,65.65066491664761,0.7853981633974483,4100000000000000.0,S,9,-92.0,725.482,12.292,0,0,CME_045_param_inv.txt,      520.923,      8.39385
46,2000-05-20 14:50:05.000,2000-05-20 22:02:32.720,2000-05-23 09:00:00,12.0,570,58.957499999999996,0.71147,2000-05-20 14:50:05,348.0,232.0,139.0,PH,432.98,44.445,-17.42589568208636,-19.768752024959504,20.0,63.88016816368074,0.5585053606381855,300000000000000.0,S,8,-10.0,398.89599999999996,0,0,0,CME_046_param_inv.txt,      458.923,      1.68846
47,2000-05-21 07:26:53.000,2000-05-21 10:53:46.160,2000-05-24 12:00:00,70.0,530,73.1036111111111,0.31911,2000-05-21 07:26:53,629.0,304.0,138.0,PH,911.35,88.106,26.53216299796253,-21.844030699616262,20.0,56.1445392209846,1.1519173063162575,9000000000000000.0,S,5,-147.0,687.483,0,0,0,CME_047_param_inv.txt,      391.462,      4.69615
48,2000-05-31 08:06:05.000,2000-05-31 13:36:11.120,2000-06-04 22:00:00,48.0,470,104.39666666666666,0.52935,2000-05-31 08:06:05,391.0,46.0,126.0,PH,569.63,57.102,29.566263671704107,8.851489193885078,20.0,59.252296653127424,0.7853981633974483,1900000000000000.0,S,9,-35.0,443.05699999999996,0,0,0,CME_048_param_inv.txt,      573.077,      2.85000
49,2000-06-06 15:54:05.000,2000-06-06 17:42:43.160,2000-06-08 12:00:00,53.0,610,42.28777777777778,0.19634,2000-06-06 15:54:05,1119.0,-9999.0,360.0,FH,1553.8,171.47,-9.386479058682356,10.039667505541576,20.0,76.2888468248892,1.1519173063162575,1.8e+16,S,11,-90.0,1190.713,0,273.39,1.4384e-08,CME_049_param_inv.txt,      434.538,      6.01539
50,2000-07-07 10:26:05.000,2000-07-07 14:40:49.160,2000-07-11 02:00:00,12.0,440,83.31944444444444,0.6551,2000-07-07 10:26:05,453.0,-9999.0,360.0,FH,731.72,119.42,-26.875981622426423,-4.9779056899367795,20.0,62.700688514857596,0.7853981633974483,1800000000000000.0,S,13,0.0,506.73099999999994,0,437.88,1.5623e-06,CME_050_param_inv.txt,      393.231,      4.81077
51,2000-07-11 13:27:23.000,2000-07-11 15:13:52.280,2000-07-13 13:00:00,26.0,610,45.76861111111111,0.18301,2000-07-11 13:27:23,1078.0,-9999.0,360.0,FH,1405.1,147.12,-20.686486032139683,-2.0149613503864967,20.0,69.21989436877475,1.1519173063162575,-9999.0,S,7,-43.0,1148.606,0,398.31,2.2642e-08,CME_051_param_inv.txt,      465.769,      13.2585
52,2000-07-12 20:30:05.000,2000-07-12 23:45:29.840,2000-07-14 17:00:00,21.0,780,41.24166666666667,0.24381,2000-07-12 20:30:05,820.0,281.0,101.0,PH,952.82,155.16,-12.811453030939383,-19.208825423491536,20.0,67.04578032263029,1.1519173063162575,7400000000000000.0,S,9,-57.0,883.6399999999999,-4.9159,0,0,CME_052_param_inv.txt,      499.308,      2.78077
53,2000-07-14 10:54:07.000,2000-07-14 12:13:07.840,2000-07-15 19:00:00,37.0,740,30.781111111111112,0.21774,2000-07-14 10:54:07,1674.0,-9999.0,360.0,FH,2031.7,349.5,-16.82020394217842,7.600179264674838,20.0,71.5877463593847,1.1519173063162575,1.4e+16,S,20,-301.0,1760.6979999999999,0,0,0,CME_053_param_inv.txt,      607.923,      2.74231
